"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест закрывает уведомления о подписке на рассылку и предложение зарегистрироваться. Выбирает нужный город. Выполняет поиск книги со спец. символами в названии.Проверяет, что книга не найдена.","6916","Поиск книг с названием из спец. символов","","Fri Dec 20 12:57:43 MSK 2024","passed","Fri Dec 20 12:57:50 MSK 2024","TestBooksSearch","UI. Поиск книг в интернет-магазине Читай-город","",""
"","736","Тест: Поиск книги по автору в Минске","","Fri Dec 20 12:51:26 MSK 2024","passed","Fri Dec 20 12:51:27 MSK 2024","TestBooksAPI","API. Поиск книг в интернет-магазине ""Читай-город""","",""
"","77","Тест: Поиск книги с названием из иероглифов","","Fri Dec 20 12:51:38 MSK 2024","passed","Fri Dec 20 12:51:38 MSK 2024","TestBooksAPI","API. Поиск книг в интернет-магазине ""Читай-город""","",""
"","693","Тест: Поиск книги по части названия в Москве","","Fri Dec 20 12:51:25 MSK 2024","passed","Fri Dec 20 12:51:25 MSK 2024","TestBooksAPI","API. Поиск книг в интернет-магазине ""Читай-город""","",""
"","804","Тест: Поиск книги по полному названию в Санкт-Петербурге","","Fri Dec 20 12:51:25 MSK 2024","passed","Fri Dec 20 12:51:26 MSK 2024","TestBooksAPI","API. Поиск книг в интернет-магазине ""Читай-город""","",""
"Тест закрывает уведомления о подписке на рассылку и предложение зарегистрироваться. Выбирает нужный город. Выполняет поиск книги с некорректным регистром.Проверяет, что книга не найдена.","3512","Поиск книги по названию с некорректным регистром","","Fri Dec 20 12:54:05 MSK 2024","passed","Fri Dec 20 12:54:08 MSK 2024","TestBooksSearch","UI. Поиск книг в интернет-магазине Читай-город","",""
"Тест закрывает уведомления о подписке на рассылку и предложение зарегистрироваться. Выбирает нужный город. Выполняет поиск книги по полному названию.Проверяет, что книга найдена.","6218","Поиск книги по полному названию в городе Казань","","Fri Dec 20 12:53:13 MSK 2024","passed","Fri Dec 20 12:53:19 MSK 2024","TestBooksSearch","UI. Поиск книг в интернет-магазине Читай-город","",""
"Тест закрывает уведомления о подписке на рассылку и предложение зарегистрироваться. Выбирает нужный город. Выполняет поиск книги с опечаткой в названии.Проверяет, что книга не найдена.Находит список похожих книг.","71474","Поиск книги по названию с опечаткой","","Fri Dec 20 12:54:54 MSK 2024","passed","Fri Dec 20 12:56:05 MSK 2024","TestBooksSearch","UI. Поиск книг в интернет-магазине Читай-город","",""
"","103","Тест: Поиск книги с названием из спец.символов","","Fri Dec 20 12:51:38 MSK 2024","passed","Fri Dec 20 12:51:38 MSK 2024","TestBooksAPI","API. Поиск книг в интернет-магазине ""Читай-город""","",""
"","46","Тест: Поиск книги с названием из одного символа","","Fri Dec 20 12:51:37 MSK 2024","passed","Fri Dec 20 12:51:37 MSK 2024","TestBooksAPI","API. Поиск книг в интернет-магазине ""Читай-город""","",""
"","4682","Тест: Удаление книг из корзины","","Fri Dec 20 12:51:32 MSK 2024","passed","Fri Dec 20 12:51:37 MSK 2024","TestBooksAPI","API. Поиск книг в интернет-магазине ""Читай-город""","",""
"","5481","Тест: Добавление книг в корзину","","Fri Dec 20 12:51:27 MSK 2024","passed","Fri Dec 20 12:51:32 MSK 2024","TestBooksAPI","API. Поиск книг в интернет-магазине ""Читай-город""","",""
"Тест закрывает уведомления о подписке на рассылку и предложение зарегистрироваться. Выбирает нужный город. Выполняет поиск книги с иероглифами в названии.Проверяет, что книга не найдена.","6954","Поиск книг с названием из иероглифов","","Fri Dec 20 12:56:50 MSK 2024","passed","Fri Dec 20 12:56:57 MSK 2024","TestBooksSearch","UI. Поиск книг в интернет-магазине Читай-город","",""
"Тест закрывает уведомления о подписке на рассылку и предложение зарегистрироваться. Выбирает нужный город. Выполняет поиск книги по названию,в котором есть опечатка и неверный регистр.Проверяет, что книга найдена.","5186","Поиск книги по названию в городе Москва","","Fri Dec 20 12:52:21 MSK 2024","passed","Fri Dec 20 12:52:27 MSK 2024","TestBooksSearch","UI. Поиск книг в интернет-магазине Читай-город","",""
"","692","Тест. Поиск книги с неправильным регистром","","Fri Dec 20 12:51:37 MSK 2024","passed","Fri Dec 20 12:51:38 MSK 2024","TestBooksAPI","API. Поиск книг в интернет-магазине ""Читай-город""","",""
